model_name,run_name,seed,data_root,variant_id,edge_family,chain_k,evaluation_mode,roc_auc,pr_auc,f1,precision,recall,balanced_accuracy,specificity,fpr,selected_threshold,best_epoch,best_val_pr_auc
gnn,20260409_125051_src_plus_dst_plus_svc_k10_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_tuned,0.9996874165090225,0.9986806387697529,0.936206918584591,0.992454414912352,0.8859931308049536,0.9422138486869078,0.9984345665688622,0.0015654334311377919,0.84,19,0.9997759863584873
gnn,20260409_143137_src_plus_dst_plus_svc_k10_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_0_5,0.9998565292104266,0.9994070022120495,0.994858999162252,0.9916018886739635,0.9981375773993808,0.9980865284049281,0.9980354794104752,0.0019645205895248053,0.5,17,0.9996733733578149
gnn,20260409_143137_src_plus_dst_plus_svc_k10_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_tuned,0.9998565292104266,0.9994070022120495,0.994894722532701,0.9940599080010142,0.9957309404024768,0.9971740938564271,0.9986172473103774,0.0013827526896226098,0.76,17,0.9996733733578149
gnn,20260409_000759_src_plus_dst_plus_svc_k5_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9998869469345173,0.9996164337954591,0.9917623519656795,0.9855152072412022,0.9980892027863777,0.9973400495512048,0.996590896316032,0.003409103683967938,0.5,24,0.9997406258255762
gnn,20260409_000759_src_plus_dst_plus_svc_k5_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9998869469345173,0.9996164337954591,0.9939565354026156,0.9934042039139889,0.9945094814241486,0.9964874815977105,0.9984654817712725,0.0015345182287275303,0.91,24,0.9997406258255762
gnn,20260409_011654_src_plus_dst_plus_svc_k5_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9997924850755184,0.9992318049766016,0.9928470451771927,0.9919481397426302,0.9937475812693498,0.9959364979070546,0.9981254145447596,0.0018745854552404079,0.5,26,0.9997460781137095
gnn,20260409_011654_src_plus_dst_plus_svc_k5_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9997924850755184,0.9992318049766016,0.9928470451771927,0.9919481397426302,0.9937475812693498,0.9959364979070546,0.9981254145447596,0.0018745854552404079,0.5,26,0.9997460781137095
gnn,20260409_022712_src_plus_dst_plus_svc_k5_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9998331580790272,0.9994005149038103,0.9931854848419177,0.9887807450735964,0.9976296439628483,0.9974995206425148,0.9973693973221813,0.0026306026778186234,0.5,21,0.9997169847328249
gnn,20260409_022712_src_plus_dst_plus_svc_k5_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9998331580790272,0.9994005149038103,0.994451320754717,0.9929585106767788,0.9959486261609907,0.9971536549801502,0.9983586837993097,0.0016413162006902523,0.8,21,0.9997169847328249
gnn,20260409_032824_src_plus_dst_plus_svc_k5_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9997888253222955,0.9991249042498197,0.9906364793162229,0.9833881500548167,0.9979924535603715,0.9970373271365537,0.9960822007127359,0.003917799287264061,0.5,19,0.9996858716256956
